comment_id,text,class_label
38597354-0,"ผมคิดถึงเรื่องนี้มาหลายครั้ง  แต่ก็ไม่เชิงว่าครุ่นคิดอยู่ตลอดเวลา
แต่อารมณ์มันแบบ  แวบขึ้นมาในหัวเป็นพักๆ   เวลาที่รู้สึกว่าตัวเองไม่มีความสุขมาก อย่างที่ควรจะเป็น

เลยอยากรู้ว่า  มีใครเป็นเหมือนกันบ้าง   ที่พอเราเดินมาถึงจุดๆหนึ่งในชีวิตในแบบที่เราอยากจะเป็น  กลับพบว่าที่ตรงนั้น  มันไม่ได้มีความสุขมากมายขนาดนั้น  หรือแบบที่เราเคยคิดเอาไว้ซักเท่าไหร่

ผมเกิดมาในต่างจังหวัด  จากครอบครัวที่ไม่ได้มีฐานะมากมายนัก
และตอนเด็กๆ  ก็เคยใฝ่ฝันไว้ ว่าอยากมีบ้าน  อยากมีรถ   อยากให้พ่อแม่สบาย    อยากไปเที่ยวต่างประเทศซักครั้ง
แต่สิ่งเหล่านั้นมันก็ดูช่างห่างไกลเหลือเกิน

พอโตมาหน่อย   เรียนจบมอหก   ก็ไม่ได้เรียนต่อเพราะหัวไม่ดี  และไม่มีเงินด้วย

ชีวิตนับจากนั้น  ผ่านมาอีกหกเจ็ดปี  ผ่านอะไรมาหลายอย่าง   และมีจุดที่ทำให้จัดการกับชีวิตตัวเองได้     จนทุกวันนี้  อายุ  26  ปี
ก็สามารถมีครบทุกอย่างที่ตัวเองเคยฝันไว้แทบทั้งหมด
ทั้งบ้าน   ทั้งรถ     มีธุรกิจที่ทำรายได้ให้ทุกวันโดยที่แทบไม่ต้องทำงานเลยก็ได้    มีเงินเก็บตามเป้าหมายอย่างที่ตั้งใจไว้  หรือเกินกว่าที่เคยคิดไว้เสียอีก
พร้อมๆกับที่สามารถใช้ชีวิต หาประสบการณ์ไปพร้อมๆกัน   สามารถกินอาหารดีๆ  หรือไปเที่ยวต่างประเทศได้จนเป็นเรื่องปกติ   อยากซื้ออะไรก็ซื้อได้โดยไม่ต้องกังวลเรื่องเงิน    ได้พาแม่ไปเที่ยวต่างประเทศอย่างที่เคยฝันเอาไว้
มีแฟนที่ดีมาก   ที่อยู่ด้วยกัน ดูแลกัน  รักกัน  มาตลอดห้าปี
ทุกวันนี้ก็สามารถใช้ชีวิตแบบที่อยากทำได้
ตื่นกี่โมงก็ได้   วันไหนอยากไปทำงานก็ไปทำ(เพราะงานที่ทำอยู่นั้นมีความสุขดี)
หรือบางทีขี้เกียจ  อยากนอนดูซีรี่ย์อยู่บ้านก็ไม่ไป ก็ไม่เป็นไร
วันไหนนึกอยากไปไหน  อยากกินอะไร  ก็ไป ก็กินได้เลย แบบไม่ต้องคิดมากมาย
จนบางทีก็คิดว่า  คงไม่มีอะไรที่อยากจะได้มากไปกว่านี้ อีกแล้ว

แต่
ไม่รู้ทำไม   ว่าหลายๆครั้งมันรู้สึกเหมือนความสุขมันไม่เต็ม
คล้ายๆว่า ไม่รู้อีกแล้ว ว่าชีวิตมันมีความหมาย  หรือเป้าหมาย  และความสุขจากนี้มันคืออะไร

คือมันเคยมีจังหวะ  ที่มีความสุขมาก  แบบมากจริงๆ  ในตอนที่ทุกอย่างมันเริ่มต้น
ตอนที่เริ่มจากไม่มี มาเป็นมี
ตอนที่สร้างตัวได้ครั้งแรก
ตอนที่ไปต่างประเทศครั้งแรก ด้วยน้ำพักน้ำแรงตัวเอง
ตอนที่เรามีเงินล้านแรก
ตอนที่มองเห็นธุรกิจตัวเองมันเติบโตในยุคเริ่มต้น
คือตอนนั้น  ยอมรับเลยว่ามันมีความสุข แบบสุขมากเลยจริงๆ
แต่หลังจากนั้นมาก็ยากมาก   ที่จะได้เจอความรู้สึกแบบเดิมๆอีก

เคยมีคนบอกว่า  เงิน  มันซื้อความสุขได้   แต่พอถึงจุดๆหนึ่ง  มันก็ไม่ได้มีความหมายอีก

หลายๆครั้ง ก็พยายามเติมเต็ม ด้วยการไปเที่ยวให้มากขึ้น    ซื้อของที่อยากได้   แต่มันก็มาเติมเต็มไม่ได้เลย
คือ ไม่ได้มีความสุขกับมันมากอย่างที่คิด
เช่น  บางที ก็เหนื่อยหน่ายกับการไปเที่ยว
หรือมองดูของที่ซื้อมาแล้วก็เท่านั้น  ไม่ได้รู้สึกว่าจะช่วยให้มีความสุขมากมายไปกว่านี้ได้

เลยเหมือนเป็นจังหวะชีวิตที่เคว้งคว้างหน่อยๆ
อยู่เปื่อนยๆไปแบบไร้ความหมาย
จะไปเที่ยวก็ขี้เกียจ
จะซื้อโน่นนี่ ก็นรู้ว่าหลายๆอย่างคงไม่ได้อยากได้จริงๆ
จะกินอะไร ก็เบื่อ  ขี้เกียจกิน

แฟนก็เคยบอกอยู่ตลอด ว่าให้มีความสุขอยู่กับปัจจุบัน
จัดการความคิดตัวเองให้ได้
ซึ่งฟังเหมือนเป็นเรื่องง่าย  แต่ผมก็ทำตามไม่ได้ซักที    ไม่รู้จะต้องทำอย่างไร  กับเรื่องที่รบกวนอยู่ในหัว
(ปล.  แฟนเป็นคนที่ใช้ชีวิตได้แบบมีความสุขมากกก   ไม่ว่าจะสมัยที่ยังไม่มี  หรือตอนที่มีทุกอย่างแล้ว   มีความสุขมากจนแผ่พลังถึงคนที่อยุ่ใกล้ๆได้เลย )

ไม่รู้ว่ามีใครเป็นแบบนี้กันบ้างรึเปล่าครับ
บางทีก็ไม่รู้เหมือนกันว่าจะเอายังไงต่อไปดี",NEG
38597354-7817b4e7-6c30-414a-8145-c96864d38409,ซื้อความรักไม่ได้ ถึงเปย์ก็ได้แต่คนไม่จริงใจ,NEU
38597354-314fe8b7-2ded-4b50-990b-21bded1edbf5,"อยากได้ ไม่ได้ทุกข์ พอได้แล้วสุข สุขแล้วเบื่อ
มันคือ เกิด ตั้งอยู่ ดับไป ไม่มีอะไรจีรัง ฝึกจิตให้รู้ ได้ด้วยสติ ค่อยพิจารณา ความรู้สึกที่เกิดขึ้นว่าเกิดจากอะไร รู้สึกอย่างไร ทำไมถึงเป็นแบบนั้น แล้วใช้เวลาเป็นตัวกำหนด เมื่อกี้รู้สึกแบบนี้ ผ่านมา 5 นาทีรู้สึกอีกอย่าง

ค่อยๆ กำหนดสติ รู้ทันอารมณ์ พอรู้แล้วมันก็เป็นธรรมดาของมันอย่างนี้นี่เอง

ความสุขในรูปแบบนามธรรม กับ วัตถุ มันต่างกันมาก",NEU
38597354-4f1ae8a3-3eac-46f3-91de-eca33be44e94,"ความสุขมันก็คือการได้รับในสิ่งที่ตัวเองต้องการน่ะแหละครับ คนที่มีความสุขที่สุดในโลกคือคนที่มองหาสิ่งที่ตัวเองต้องการได้รอบๆตัว

มีกวีชาวยุโรปคนหนึ่ง(ลืมชื่อไปแล้ว) บอกว่าชีวิตนี้ ขอแค่มีดอกไม้เล็กๆซักแปลง รูปภาพซัก 2-3 รูป หนังสือซัก 4-5 เล่ม ข้าพเจ้าก็มีชีวิตอยู่ได้โดยปราศจากความริษยา เขาไม่ได้ไขว่คว้าหาอะไรเกินตัว เขาแค่มองไปยังรอบๆตัวแล้วหาความสุขจากมัน

สำหรับผมแค่เห็นหมามันเคี้ยวข้าวอร่อย นอนอืดสบาย ให้ผมนั่งลูบหัวมัน เล่นโน้ตบุ๊คเครื่องเล็กๆในห้องแอร์กับกาแฟอร่อยๆซักแก้ว ผมก็มีความสุขแล้ว
แก้ไขข้อความเมื่อ 27 กุมภาพันธ์ 2562 เวลา 02:33 น.",NEU
38597354-38e7901d-9402-445d-a235-99d2e772c641,ความสุขของแต่ละคนมันอยู่ที่นิยามของเจ้าตัวครับ,NEU
38597354-5f15d05b-0448-4328-8ec9-37a5c9afc885,"สร้างฐานะได้สำเร็จและได้ทำทุกอย่างตามที่ตนเองปรารถนาได้ ก็มีความสุขในระดับหนึ่งแล้วครับ
-แต่ถ้าจะทำมากกว่านั้น จะต้องมีการฝึกจิตร่วมด้วย การฝึกจิตนั้น ถ้าเป็นคนที่มีพรสวรรค์หรือมีความสามารถมากๆ จะสามารถฝึกจิตของตนเองให้มีความสุขแบบลึกซึ้งได้ครับ
สรุป 1.การทำให้ตนเองรวย ดีครับ.....
.......2.การฝึกจิตให้มีความสุขได้อย่างลึกซึ้งด้วยตนเองดีครับ.....
ฉะนั้น ถ้าคุณ จขกท ทำได้ทั้งสองอย่าง ผมยอมรับว่าคุณเป็น สุดยอดคน ครับ.......

ปล.คนอีกจำนวนมากอาจจะไม่ทราบว่า มนุษย์เราสามารถจะฝึกจิตให้มีความสุขได้อย่างลึกซึ้งพิศดารได้ ไม่ว่าจะเป็นพระหรือฆราวาสก็ตาม(ชายหรือหญิงก็ได้)
แก้ไขข้อความเมื่อ 27 กุมภาพันธ์ 2562 เวลา 07:29 น.",NEU
38597354-f2993436-6d00-420d-bfa1-ff0c6478f8e9,ความสุขอยู่ที่ใจ,NEU
38597354-88094777-9a08-4f30-abeb-e3b4a8eec89d,"อยู่ที่ใจคุณด้วยครับ เช่นคนนวยมากๆต่อให้มีมากกว่านี้ถ้าคิดว่าไม่พอก็ยังจนอยู่

ปัจจัยสี่คือเป้าหมายแรกที่ต้องใช้เงินตอบสนอง เมื่อผ่านแล้ว

ก็หาเป้าหมายใหม่ คนหาตัวเอง สิ่งที่ชอบ สิ่งที่อยากทำ

สิ่งที่มีคุณค่ากับผู้อื่น",NEU
38597354-3e77999d-401d-4501-aa78-6e22908c4fcb,"ความสุขของเราคือได้ทำความฝัน ได้เห็นศักยภาพตัวเอง ได้ให้…และได้รับ

เมื่อถึงจุดที่ความฝันเพื่อตัวเราจบ เราก็ทำความฝันคนอื่นต่อไปค่ะ เก็บเกี่ยวความรัก ความงาม ความดีของสิ่งที่วนเวียนมารอบๆตัวเรา แล้วใจมันอิ่มค่ะ ไม่ได้หวือหวาเท่าขึ้นเครื่องบินครั้งแรก เงินเดือนเดือนแรก ปริญญาใบแรก แต่มันเป็นความสุขอีกรูปแบบหนึ่งค่ะ
แก้ไขข้อความเมื่อ 27 กุมภาพันธ์ 2562 เวลา 07:26 น.",NEU
38597354-86f68e8e-6f89-4e8b-8530-525128e23302,เราจะรู้จักสุข ก็ตอนที่เรารู้สึกขาด,NEU
